Site,Variable,mean_values,median_values
BP,NN,2.881794871794872,0.96
BP,Phosphate,0.21410256410256412,0.18
BP,Salinity,34.02961104025641,34.2885346
BP,Silicate,16.476666666666667,10.27
BP,TA,2270.91153425641,2280.531534
BP,Temp_in,24.065978321025643,24.04085082
BP,pH,7.9986856797435895,8.012
BP,percent_sgd,2.075146935282051,1.293450882
W,NN,0.41195121951219515,0.19
W,Phosphate,0.12219512195121951,0.11
W,Salinity,34.32132376097561,34.54404926
W,Silicate,8.18780487804878,3.12
W,TA,2275.5073195853656,2281.618209
W,Temp_in,23.945775522682926,23.87550248
W,pH,7.9386829268292685,7.945
W,percent_sgd,1.0578559274146342,0.403100775
